Date,Host,Brand,Type ,Region,Tasting notes
July 2020,Beau,Teeling,Single Grain,Ireland,"Nose: Honeyed apple flesh and red grape, sweet and slightly floral with fragrant vanilla and spice, evaporated milk and brown sugar.
Palate: There's treacle on the palate, but it's light and buttery with dried cranberry developing.
Finish: Into golden syrup tart and sweet egg custard now with spicy cereal.
Overall: This is a thoroughly enjoyable grain whiskey, sweet and fairly light but full of flavour."
August 2020,Jesse,Dewars ,15 year Blended Scotch ,Scotland,
September 2020,Beau,Nikka Coffey,Single Grain,Japan,"Nose: Bourbon-like vanilla and corn notes with a herbal hint of chamomile.
Palate: Sweet, fruity flavours of melon, grapefruit and thick syrup, balanced by crunchy biscuits and fresh vanilla.
Finish: The corn notes, sweet and vibrant, last on the finish.
Overall: Fans of grain whisky should be pretty happy with this, as well as bourbon lovers."
October 2020,Jesse,Defiant,Single Malt,North Carolina,"opens with honey and vanilla notes that meld into a malty spiciness, encouraging exploration. The same qualities appear on the palate, but there's a woody sharpness underlying the sweetness and spice here"
November 2020,Beau,The Family Jones,Ella Jones (rye),Denver,"Tasting notes: Notes of brûléed vanilla sugar, toasted sweet corn, dark cherry and light smoke."
December 2020,Jesse,Bulleit 10 year,Rye,Kentucky,Appearance / Color The color of baked yams.       Nose / Aroma / Smell Mulling spices and honey-mead.      Flavor / Taste / Palate A smoky bananas foster with a hint of anise.   Finish  Smooth and vibrant.
January 2021,Beau,High West,"Flight: 
- American Prairie 
- Double Rye
- Rendezvous Rye",Salt Lake City,"- American Prairie:
Nose: Light caramel and sweet vanilla
Taste: Rich and earthy on the palate with well balanced flavors of candy corn, honey nougat and sweet corn bread biscuits
Finish: Vanilla with a hint of caramel apple
- Double Rye: 
Nose: Mint, clove, cinnamon, licorice root, pine nuts, and dark chocolate, with a surprising dose of gin botanicals throughout
Taste: Rye spices up front, then menthol, mint, eucalyptus, herbal tea with wildflower honey and all spice
Finish: Cinnamon and mint, gradually sweetening through the finish, with a hint of anise
- Rendezvous Rye:
Nose: A big nose of cinnamon stick, clove, vanilla, peppermint, caramelized sugar and dried fruit
Taste: Very spicy, with cinnamon, crisp mint and fennel, underlying sweet notes of caramel, molasses, vanilla, macaroon, cocoa, and candied fruit.
Finish: Takes hold with huge rye spice, cinnamon, orange rind, and vanilla and it lingers for ages."
February 2021,Jesse,Michter's,Bourbon ,Kentucky,"Deep amber. Brown sugar and thick caramel, with red apples and grapes. Rich vanilla with a slight spiciness to it, more apples and bursts of banana. Lingers just enough, vanilla and hints of sweet oak wood."
March 2021,Beau,Koval,"Flight:
- Bourbon
- Rye
- Four Grain",Chicago,"Bourbon - mango chutney and vanilla on the palate, with a peppery caramel finish.
Rye - light whiskey that offers mellow and somewhat sweet notes of maple and candy corn, with a classically spicy finish. 
Four Grain - The four grains define its depth with a banana nose, creamy palate, and spicy finish. Perfect sipped straight or with a single sphere of ice."
April 2021,Drew,Belle Meade,"Flight:
Sherry Cask Finish
XO Cognac Cask Finish
Madeira Cask Finish","Nashville, Tennessee ","Sherry - Nose: Sweet, dried fruits, caramel, floral notes; Palate: dark, rich, spicey; Finish: Long, nutty
Cognac - Nose: Sweet, creamy, orange, cinnamon; Palate: Vanilla, Caramel,  baking spices; Finish: Cedar, woody
Madeira -  Nose: Floral, vanilla, toffee; Palate: Honey, vanilla, cherry, caramel, velvety; Finish: malt, chocolate"
